ind,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
7489,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7490,30273,1,Rex,Clayton County,33.58,-84.27,Georgia,13063,1509.0
7491,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7492,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7493,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7494,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7495,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7496,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7497,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7498,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7499,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7500,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7501,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7502,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7503,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7504,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7505,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7506,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7507,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7508,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7509,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7510,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7511,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7512,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7513,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7514,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7515,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7516,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7517,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7518,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7519,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7520,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7521,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7522,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7523,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7524,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7525,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7526,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7527,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7528,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7529,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7530,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7531,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7532,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7533,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7534,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7535,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7536,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7537,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7538,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7539,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7540,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7541,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7542,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7543,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7544,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7545,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7546,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7547,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7548,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7549,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7550,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7551,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7552,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7553,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7554,30274,3,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7555,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7556,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7557,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7558,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7559,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7560,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7561,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7562,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7563,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7564,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7565,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7566,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7567,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7568,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7569,30274,2,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
7570,30274,1,Riverdale,Clayton County,33.55,-84.4,Georgia,13063,1509.0
