,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
15831,30708,1,Cisco,Murray County,34.96,-84.66,Georgia,13213,93
15832,30710,1,Cohutta,Whitfield County,34.94,-84.91,Georgia,13313,398
15841,30711,1,Crandall,Murray County,34.9,-84.7,Georgia,13213,93
15845,30720,2,Dalton,Whitfield County,34.8,-85.0,Georgia,13313,398
15895,30721,2,Dalton,Whitfield County,34.8,-84.9,Georgia,13313,398
16011,30722,1,Dalton,Whitfield County,,,Georgia,13313,398
16012,30725,2,Flintstone,Walker County,34.93,-85.36,Georgia,13295,402
16018,30728,2,La Fayette,Walker County,34.7,-85.2,Georgia,13295,402
16093,30730,2,Lyerly,Chattooga County,34.38,-85.41,Georgia,13055,184
16097,30731,1,Menlo,Chattooga County,34.6,-85.5,Georgia,13055,184
16100,30732,2,Oakman,Gordon County,,,Georgia,13129,258
16101,30733,2,Plainville,Gordon County,34.42,-85.05,Georgia,13129,258
16108,30734,2,Ranger,Gordon County,34.5,-84.7,Georgia,13129,258
16118,30735,2,Resaca,Gordon County,34.6,-84.9,Georgia,13129,258
16134,30736,2,Ringgold,Catoosa County,34.9,-85.1,Georgia,13047,133
16182,30738,2,Rising Fawn,Dade County,34.8,-85.5,Georgia,13083,62
16195,30739,3,Rock Spring,Walker County,34.8,-85.22,Georgia,13295,402
16200,30740,3,Rocky Face,Whitfield County,34.76,-85.09,Georgia,13313,398
16215,30741,2,Rossville,Walker County,34.94,-85.27,Georgia,13295,402
16325,30742,1,Fort Oglethorpe,Catoosa County,34.95,-85.24,Georgia,13047,133
16358,30746,1,Sugar Valley,Gordon County,34.6,-85.0,Georgia,13129,258
16365,30747,2,Summerville,Chattooga County,34.5,-85.3,Georgia,13055,184
16428,30750,1,Lookout Mountain,Walker County,34.94,-85.39,Georgia,13295,402
16430,30752,1,Trenton,Dade County,34.9,-85.5,Georgia,13083,62
16446,30753,1,Trion,Chattooga County,34.59,-85.28,Georgia,13055,184
16482,30755,1,Tunnel Hill,Whitfield County,34.86,-85.04,Georgia,13313,398
16508,30757,1,Wildwood,Dade County,34.93,-85.44,Georgia,13083,62
16511,30802,2,Appling,Columbia County,33.6,-82.3,Georgia,13073,479
16521,30803,3,Avera,Jefferson County,33.2,-82.6,Georgia,13163,125
16524,30805,1,Blythe,Richmond County,33.3,-82.2,Georgia,13245,1470
16532,30808,2,Dearing,McDuffie County,33.39,-82.38,Georgia,13189,200
16542,30809,1,Evans,Columbia County,33.56,-82.16,Georgia,13073,479
16583,30810,1,Gibson,Glascock County,33.2,-82.6,Georgia,13125,3
16584,30813,1,Grovetown,Columbia County,33.47,-82.22,Georgia,13073,479
16689,30814,1,Harlem,Columbia County,33.43,-82.31,Georgia,13073,479
16710,30815,3,Hephzibah,Richmond County,33.3,-82.1,Georgia,13245,1470
16855,30816,2,Keysville,Burke County,33.2,-82.1,Georgia,13033,183
16861,30817,1,Lincolnton,Lincoln County,33.8,-82.4,Georgia,13181,14
16868,30818,1,Matthews,Jefferson County,33.26,-82.33,Georgia,13163,125
16872,30820,2,Mitchell,Glascock County,33.2,-82.7,Georgia,13125,3
16873,30821,2,Norwood,Warren County,33.5,-82.7,Georgia,13301,33
16878,30822,2,Perkins,Jenkins County,32.9,-81.9,Georgia,13165,46
16879,30823,2,Stapleton,Jefferson County,33.2,-82.4,Georgia,13163,125
16882,30824,1,Thomson,McDuffie County,33.5,-82.5,Georgia,13189,200
16978,30828,2,Warrenton,Warren County,33.4,-82.7,Georgia,13301,33
16991,30830,1,Waynesboro,Burke County,33.1,-82.0,Georgia,13033,183
17074,30833,1,Wrens,Jefferson County,33.2,-82.4,Georgia,13163,125
17092,30901,1,Augusta,Richmond County,33.43,-81.96,Georgia,13245,1470
17172,30903,1,Augusta,Columbia County,33.43,-81.96,Georgia,13073,479
17174,30904,2,Augusta,Richmond County,33.48,-82.02,Georgia,13245,1470
17256,30905,1,Augusta,Richmond County,33.4,-82.17,Georgia,13245,1470
17260,30906,2,Augusta,Richmond County,33.3,-82.0,Georgia,13245,1470
17594,30907,2,Augusta,Columbia County,33.53,-82.09,Georgia,13073,479
17683,30909,1,Augusta,Richmond County,33.48,-82.1,Georgia,13245,1470
17874,30914,1,Augusta,Richmond County,,,Georgia,13245,1470
17875,30916,3,Augusta,Richmond County,,,Georgia,13245,1470
17876,30919,2,Augusta,Richmond County,,,Georgia,13245,1470
17878,31001,1,Abbeville,Wilcox County,32.0,-83.3,Georgia,13315,40
17885,31002,3,Adrian,Emanuel County,32.6,-82.6,Georgia,13107,305
17890,31005,1,Bonaire,Houston County,32.5,-83.6,Georgia,13153,879
17924,31006,1,Butler,Taylor County,32.6,-84.3,Georgia,13269,11
17926,31007,3,Byromville,Dooly County,32.2,-83.9,Georgia,13093,42
17929,31008,2,Byron,Peach County,32.6,-83.8,Georgia,13225,112
17954,31009,2,Cadwell,Laurens County,32.3,-83.0,Georgia,13175,259
17955,31011,3,Chauncey,Dodge County,32.1,-83.1,Georgia,13091,251
17959,31012,2,Chester,Dodge County,32.4,-83.2,Georgia,13091,251
17967,31014,1,Cochran,Bleckley County,32.4,-83.3,Georgia,13023,106
18024,31015,1,Cordele,Crisp County,31.9,-83.8,Georgia,13081,227
18159,31016,1,Culloden,Monroe County,32.8,-84.1,Georgia,13207,126
18163,31017,1,Danville,Twiggs County,32.6,-83.2,Georgia,13289,33
18166,31018,2,Davisboro,Washington County,33.0,-82.6,Georgia,13303,190
18175,31019,3,Dexter,Laurens County,32.42,-83.05,Georgia,13175,259
18182,31020,3,Dry Branch,Twiggs County,32.6,-83.5,Georgia,13289,33
18188,31021,1,Dublin,Laurens County,32.5,-82.9,Georgia,13175,259
18286,31022,1,Dudley,Laurens County,32.5,-83.1,Georgia,13175,259
18287,31023,1,Eastman,Dodge County,32.2,-83.2,Georgia,13091,251
18409,31024,3,Eatonton,Putnam County,33.3,-83.3,Georgia,13237,201
18515,31025,3,Elko,Houston County,32.3,-83.7,Georgia,13153,879
18517,31026,2,Eatonton,Putnam County,,,Georgia,13237,201
18518,31027,2,East Dublin,Laurens County,32.6,-82.8,Georgia,13175,259
18542,31028,3,Centerville,Houston County,32.63,-83.69,Georgia,13153,879
18558,31029,1,Forsyth,Monroe County,33.0,-83.9,Georgia,13207,126
18616,31030,2,Fort Valley,Peach County,32.6,-83.9,Georgia,13225,112
18650,31031,2,Gordon,Wilkinson County,32.9,-83.3,Georgia,13319,35
18663,31032,2,Gray,Jones County,33.0,-83.6,Georgia,13169,16
18671,31033,3,Haddock,Jones County,33.1,-83.5,Georgia,13169,16
18672,31034,2,Hardwick,Baldwin County,,,Georgia,13009,265
18674,31035,1,Harrison,Washington County,32.86,-82.71,Georgia,13303,190
18678,31036,1,Hawkinsville,Pulaski County,32.3,-83.5,Georgia,13235,69
18715,31037,1,Helena,Telfair County,32.1,-82.9,Georgia,13271,111
18723,31038,3,Hillsboro,Jasper County,33.2,-83.6,Georgia,13159,60
18724,31039,2,Howard,Taylor County,32.596,-84.382,Georgia,13269,11
18726,31040,2,Dublin,Laurens County,,,Georgia,13175,259
