,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
5892,30141,1,Hiram,Paulding County,33.86,-84.76,Georgia,13223,389
5947,30143,1,Jasper,Pickens County,34.5,-84.4,Georgia,13227,112
5991,30144,1,Kennesaw,Cobb County,34.03,-84.6,Georgia,13067,1882
6069,30145,1,Kingston,Bartow County,34.2,-85.0,Georgia,13015,414
6082,30147,3,Lindale,Floyd County,34.15,-85.22,Georgia,13115,492
6091,30148,3,Marble Hill,Pickens County,34.44,-84.29,Georgia,13227,112
6092,30151,3,Nelson,Pickens County,,,Georgia,13227,112
6093,30152,2,Kennesaw,Cobb County,33.99,-84.64,Georgia,13067,1882
6149,30153,2,Rockmart,Polk County,34.0,-85.1,Georgia,13233,283
6212,30157,2,Dallas,Paulding County,33.9,-84.9,Georgia,13223,389
6299,30160,2,Kennesaw,Cobb County,,,Georgia,13067,1882
6300,30161,2,Rome,Floyd County,34.3,-85.2,Georgia,13115,492
6387,30164,2,Rome,Newton County,34.3,-85.2,Georgia,13217,837
6388,30165,2,Rome,Floyd County,34.3,-85.3,Georgia,13115,492
6522,30168,2,Austell,Cobb County,33.78,-84.59,Georgia,13067,1882
6647,30170,1,Roopville,Carroll County,33.4,-85.2,Georgia,13045,675
6650,30171,2,Rydal,Bartow County,34.36,-84.74,Georgia,13015,414
6657,30173,2,Silver Creek,Floyd County,34.14,-85.13,Georgia,13115,492
6673,30175,3,Talking Rock,Pickens County,34.5,-84.5,Georgia,13227,112
6686,30176,2,Tallapoosa,Haralson County,33.8,-85.3,Georgia,13143,152
6702,30178,1,Taylorsville,Bartow County,34.1,-85.0,Georgia,13015,414
6705,30179,2,Temple,Carroll County,33.8,-85.0,Georgia,13045,675
6752,30180,2,Villa Rica,Carroll County,33.7,-84.9,Georgia,13045,675
6847,30182,1,Waco,Carroll County,33.65,-85.25,Georgia,13045,675
6855,30183,1,Waleska,Cherokee County,34.34,-84.59,Georgia,13057,587
